Breed,Category,Intelligence-Ranking,Intelligence-Category,Size-Category,Lifetime-Cost($),Purchase-Cost($)
Affenpinscher,Toy,37,Above-Average,Small,15835,510
Afghan Hound,Hound,80,Lowest,Large,20818,890
Airedale Terrier,Terrier,29,Above-Average,Medium,,733
Akita,Working,54,Average,Large,18217,1202
Alaskan Malamute,Working,50,Average,Large,19069,1210
American English Coonhound,Hound,,,Large,,283
American Eskimo Dog,Non-Sporting,,,Small,,560
American Foxhound,Hound,46,Average,Medium,,757
American Staffordshire Terrier,Terrier,34,Above-Average,Medium,,1043
American Water Spaniel,Sporting,44,Average,Medium,,730
Anatolian Shepherd Dog,Working,,,Large,,
Australian Cattle Dog,Herding,10,Brightest,Medium,17607,530
Australian Shepherd,Herding,42,Average,Medium,18524,565
Australian Terrier,Terrier,34,Above-Average,Small,15475,640
Basenji,Hound,79,Lowest,Medium,19125,940
Basset Hound,Hound,71,Lowest,Small,15827,490
Beagle,Hound,73,Lowest,Small,16777,288
Bearded Collie,Herding,34,Above-Average,Medium,,
Beauceron,Herding,,,Large,,967
Bedlington Terrier,Terrier,40,Average,Small,19151,1058
Belgian Malinois,Herding,22,Excellent,Large,,1080
Belgian Sheepdog,Herding,15,Excellent,Large,,
Belgian Tervuren,Herding,14,Excellent,Large,16600,1070
Bernese Mountain Dog,Working,22,Excellent,Large,14032,1320
Bichon Frise,Non-Sporting,45,Average,Small,17063,693
Black and Tan Coonhound,Hound,44,Average,Large,,325
Black Russian Terrier,Working,,,Large,,2833
Bloodhound,Hound,75,Lowest,Large,11979,608
Bluetick Coonhound,Hound,,,Large,,370
Border Collie,Herding,1,Brightest,Medium,17404,623
Border Terrier,Terrier,30,Above-Average,Small,19575,833
Borzoi,Hound,76,Lowest,Large,14007,675
Boston Terrier,Non-Sporting,54,Average,Medium,15352,690
Bouvier des Flandres,Herding,29,Above-Average,Large,16489,1335
Boxer,Working,48,Average,Medium,13641,700
Boykin Spaniel,Sporting,,,Medium,,531
Briard,Herding,30,Above-Average,Large,17004,650
Brittany,Sporting,19,Excellent,Medium,19503,618
Brussels Griffon,Toy,59,Fair,Small,16925,833
Bull Terrier,Terrier,66,Fair,Medium,16051,1085
Bulldog,Non-Sporting,78,Lowest,Medium,11977,2680
Bullmastiff,Working,69,Fair,Large,12128,980
Cairn Terrier,Terrier,35,Above-Average,Small,18965,435
Canaan Dog,Herding,,,Medium,,
Cane Corso,Working,,,Large,,1070
Cardigan Welsh Corgi,Herding,26,Excellent,Small,,828
Cavalier King Charles Spaniel,Toy,44,Average,Small,16169,1017
Cesky Terrier,Terrier,,,Small,,
Chesapeake Bay Retriever,Sporting,27,Above-Average,Large,14432,522
Chihuahua,Toy,67,Fair,Small,22640,588
Chinese Crested,Toy,61,Fair,Small,,538
Chinese Shar Pei,Non-Sporting,51,Average,Medium,,840
Chow Chow,Non-Sporting,77,Lowest,Medium,13745,515
Clumber Spaniel,Sporting,37,Above-Average,Medium,15695,1033
Cocker Spaniel,Sporting,20,Excellent,Small,19888,465
Collie,Herding,16,Excellent,Large,,650
Curly Coated Retriever,Sporting,41,Average,Large,,
Dachshund,Hound,49,Average,Small,17350,423
Dalmatian,Non-Sporting,39,Above-Average,Medium,17194,695
Dandie Dinmont Terrier,Terrier,62,Fair,Small,18725,925
Doberman Pinscher,Working,5,Brightest,Large,15929,790
English Cocker Spaniel,Sporting,18,Excellent,Medium,16442,800
English Foxhound,Hound,46,Average,Large,,
English Setter,Sporting,37,Above-Average,Large,17548,615
English Springer Spaniel,Sporting,13,Excellent,Medium,18950,615
English Toy Spaniel,Toy,45,Average,Small,14670,925
Entlebucher Mountain Dog,Herding,,,Medium,,1167
Field Spaniel,Sporting,34,Above-Average,Medium,,
Finnish Lapphund,Herding,,,Medium,,
Finnish Spitz,Non-Sporting,43,Average,Medium,,
Flat-Coated Retriever,Sporting,18,Excellent,Medium,13845,600
French Bulldog,Non-Sporting,58,Fair,Medium,15116,1900
German Pinscher,Working,,,Medium,,1500
German Shepherd,Herding,3,Brightest,Large,15091,820
German Shorthaired Pointer,Sporting,17,Excellent,Large,20849,545
German Wirehaired Pointer,Sporting,44,Average,Large,,655
Giant Schnauzer,Working,28,Above-Average,Large,21307,810
Glen of Imaal Terrier,Terrier,,,Small,,
Golden Retriever,Sporting,4,Brightest,Medium,18571,958
Gordon Setter,Sporting,34,Above-Average,Large,16953,700
Great Dane,Working,48,Average,Large,12759,1040
Great Pyrenees,Working,64,Fair,Large,,503
Greater Swiss Mountain Dog,Working,,,Large,,1605
Greyhound,Hound,46,Average,Large,13771,1175
Harrier,Hound,,,Medium,,
Havanese,Toy,,,Small,,830
Ibizan Hound,Hound,53,Average,Large,,1500
Icelandic Sheepdog,Herding,,,Medium,,
Irish Red and White Setter,Sporting,,,Large,,1000
Irish Setter,Sporting,35,Above-Average,Large,17544,525
Irish Terrier,Terrier,53,Average,Medium,,588
Irish Water Spaniel,Sporting,24,Excellent,Medium,,
Irish Wolfhound,Hound,41,Average,Large,16039,1333
Italian Greyhound,Toy,60,Fair,Small,14270,800
Japanese Chin,Toy,62,Fair,Small,,513
Keeshond,Non-Sporting,16,Excellent,Medium,,610
Kerry Blue Terrier,Terrier,35,Above-Average,Medium,14994,1200
Komondor,Working,,,Large,,656
Kuvasz,Working,42,Average,Large,,
Labrador Retriever,Sporting,7,Brightest,Medium,18422,810
Lakeland Terrier,Terrier,62,Fair,Small,,1093
Leonberger,Working,,,Large,13232,1480
Lhasa Apso,Non-Sporting,68,Fair,Small,18985,350
Lowchen,Non-Sporting,,,Small,,
Maltese,Toy,59,Fair,Small,16073,650
Manchester Terrier,Terrier,32,Above-Average,Small,,720
Mastiff,Working,72,Lowest,Large,11224,900
Miniature Bull Terrier,Terrier,,,Small,,1740
Miniature Pinscher,Toy,37,Above-Average,Small,,535
Miniature Schnauzer,Terrier,12,Excellent,Small,16753,715
Neapolitan Mastiff,Working,,,Large,,1760
Newfoundland,Working,34,Above-Average,Large,16802,1178
Norfolk Terrier,Terrier,56,Fair,Small,21185,2083
Norwegian Buhund,Herding,,,Medium,,
Norwegian Elkhound,Hound,36,Above-Average,Medium,,448
Norwegian Lundehund,Non-Sporting,,,Small,,
Norwich Terrier,Terrier,38,Above-Average,Small,,1245
Nova Scotia Duck Tolling Retriever,Sporting,,,Medium,11100,1500
Old English Sheepdog,Herding,63,Fair,Medium,19551,832
Otterhound,Hound,46,Average,Large,,
Papillon,Toy,8,Brightest,Small,18157,740
Parson Russell Terrier,Terrier,,,Small,,528
Pekingese,Toy,74,Lowest,Small,17803,885
Pembroke Welsh Corgi,Herding,11,Excellent,Small,19625,587
Petit Basset Griffon Vendeen,Hound,62,Fair,Small,,400
Pharaoh Hound,Hound,37,Above-Average,Medium,18221,913
Plott,Hound,,,Medium,,
Pointer,Sporting,43,Average,Large,21049,294
Polish Lowland Sheepdog,Herding,,,Medium,,
Pomeranian,Toy,23,Excellent,Small,13677,670
Poodle,Non-Sporting,2,Brightest,Medium,18382,900
Portuguese Water Dog,Working,,,Medium,,
Pug,Toy,57,Fair,Medium,15421,469
Puli,Herding,27,Above-Average,Medium,,913
Pyrenean Shepherd,Herding,,,Medium,,
Redbone Coonhound,Hound,,,Large,,425
Rhodesian Ridgeback,Hound,52,Average,Large,14355,995
Rottweiler,Working,9,Brightest,Large,16395,1118
Saint Bernard,Working,65,Fair,Large,17336,875
Saluki,Hound,43,Average,Medium,21585,1525
Samoyed,Working,33,Above-Average,Medium,21951,1162
Schipperke,Non-Sporting,15,Excellent,Small,,658
Scottish Deerhound,Hound,47,Average,Large,,
Scottish Terrier,Terrier,65,Fair,Small,15187,829
Sealyham Terrier,Terrier,56,Fair,Small,,
Shetland Sheepdog,Herding,6,Brightest,Small,17469,465
Shiba Inu,Non-Sporting,,,Small,,890
Shih Tzu,Toy,70,Lowest,Small,18264,583
Siberian Husky,Working,45,Average,Medium,19043,650
Silky Terrier,Toy,37,Above-Average,Small,,448
Skye Terrier,Terrier,55,Fair,Small,,550
Smooth Fox Terrier,Terrier,40,Average,Small,,575
Soft-Coated Wheaten Terrier,Terrier,40,Average,Medium,,832
Spinone Italiano,Sporting,,,Large,,1725
Staffordshire Bull Terrier,Terrier,49,Average,Medium,18772,1145
Standard Schnauzer,Working,18,Excellent,Medium,,855
Sussex Spaniel,Sporting,,,Small,,
Swedish Vallhund,Herding,,,Small,19739,772
Tibetan Mastiff,Working,,,Large,20899,3460
Tibetan Spaniel,Non-Sporting,46,Average,Small,22104,1050
Tibetan Terrier,Non-Sporting,62,Fair,Small,17643,1140
Toy Fox Terrier,Toy,,,Small,,460
Vizsla,Sporting,25,Excellent,Medium,,935
Weimaraner,Sporting,21,Excellent,Large,,562
Welsh Springer Spaniel,Sporting,31,Above-Average,Medium,17492,750
Welsh Terrier,Terrier,53,Average,Small,,843
West Highland White Terrier,Terrier,47,Average,Small,17690,538
Whippet,Hound,51,Average,Medium,18160,915
Wire Fox Terrier,Terrier,51,Average,Small,,668
Wirehaired Pointing Griffon,Sporting,46,Average,Medium,,755
Xoloitzcuintli,Non-Sporting,,,Medium,,717
Yorkshire Terrier,Toy,27,Above-Average,Small,17944,1057
